Date;
28/05/2014;17.04
29/05/2014;17.12
30/05/2014;17.6
02/06/2014;17.34
03/06/2014;17.44
04/06/2014;17.4
05/06/2014;17.56
06/06/2014;17.52
09/06/2014;17.42
10/06/2014;17.72
11/06/2014;17.86
12/06/2014;18.16
13/06/2014;18.44
16/06/2014;18.37
17/06/2014;18.54
18/06/2014;18.88
19/06/2014;19.5
20/06/2014;19.12
23/06/2014;19.49
24/06/2014;19.04
25/06/2014;19.07
26/06/2014;19.23
27/06/2014;19.22
30/06/2014;19.54
02/07/2014;19.57
03/07/2014;19.33
04/07/2014;19.29
07/07/2014;19.54
08/07/2014;19.95
09/07/2014;20.14
10/07/2014;19.76
11/07/2014;20.71
14/07/2014;20.24
15/07/2014;19.71
16/07/2014;20.28
17/07/2014;20.63
18/07/2014;20.62
21/07/2014;20.51
22/07/2014;20.21
23/07/2014;20.13
24/07/2014;19.66
25/07/2014;20.2
28/07/2014;20.18
29/07/2014;20.17
30/07/2014;20.14
31/07/2014;19.7
01/08/2014;19.89
05/08/2014;19.78
06/08/2014;20.05
07/08/2014;20.18
08/08/2014;20.51
11/08/2014;20.45
12/08/2014;20.94
13/08/2014;20.82
14/08/2014;20.83
15/08/2014;20.64
18/08/2014;20.66
19/08/2014;20.6
20/08/2014;20.54
21/08/2014;20.18
22/08/2014;19.97
25/08/2014;19.75
26/08/2014;19.95
27/08/2014;19.66
28/08/2014;19.75
29/08/2014;19.99
02/09/2014;19.52
03/09/2014;19.33
04/09/2014;18.51
05/09/2014;18.64
08/09/2014;18.37
09/09/2014;18.52
10/09/2014;18.32
11/09/2014;18.63
12/09/2014;18.33
15/09/2014;18.19
16/09/2014;18.18
17/09/2014;17.89
18/09/2014;17.52
19/09/2014;17.1
22/09/2014;17
23/09/2014;17.19
24/09/2014;16.93
25/09/2014;17.11
26/09/2014;17.02
29/09/2014;16.71
30/09/2014;16.47
01/10/2014;16.5
02/10/2014;16.43
03/10/2014;15.91
06/10/2014;15.84
07/10/2014;15.24
08/10/2014;15.94
09/10/2014;15.59
10/10/2014;15.11
14/10/2014;15.45
15/10/2014;15.24
16/10/2014;15.5
17/10/2014;15.12
20/10/2014;15.43
21/10/2014;15.29
22/10/2014;15.07
23/10/2014;15.13
24/10/2014;15.18
27/10/2014;14.96
28/10/2014;15.1
29/10/2014;14.34
30/10/2014;13.75
31/10/2014;13.38
03/11/2014;13.54
04/11/2014;13.06
05/11/2014;12.5
06/11/2014;12.97
07/11/2014;13.79
10/11/2014;12.9
11/11/2014;13.21
12/11/2014;13.25
13/11/2014;13.11
14/11/2014;13.83
17/11/2014;14.07
18/11/2014;15.04
19/11/2014;14.09
20/11/2014;14.53
21/11/2014;14.44
24/11/2014;14.22
25/11/2014;14.83
26/11/2014;14.53
27/11/2014;14.3
28/11/2014;13.54
01/12/2014;14.07
02/12/2014;13.58
03/12/2014;14.02
04/12/2014;13.58
05/12/2014;13.21
08/12/2014;13.27
09/12/2014;13.79
10/12/2014;13.7
11/12/2014;13.64
12/12/2014;13.28
15/12/2014;12.21
16/12/2014;12.02
17/12/2014;12.58
18/12/2014;12.85
19/12/2014;12.59
22/12/2014;12.02
23/12/2014;11.81
24/12/2014;12.02
29/12/2014;12.18
30/12/2014;12.6
31/12/2014;12.52
02/01/2015;12.86
05/01/2015;12.81
06/01/2015;13.31
07/01/2015;13.15
08/01/2015;12.79
09/01/2015;13.04
12/01/2015;13.58
13/01/2015;12.76
14/01/2015;12.41
15/01/2015;13.62
16/01/2015;14.09
19/01/2015;14.21
20/01/2015;15.18
21/01/2015;15.69
22/01/2015;15.87
23/01/2015;15.43
26/01/2015;15.82
27/01/2015;16.26
28/01/2015;15.79
29/01/2015;15.49
30/01/2015;16.25
02/02/2015;16.21
03/02/2015;15.7
04/02/2015;16.22
05/02/2015;16.24
06/02/2015;15.44
09/02/2015;15.56
10/02/2015;15.3
11/02/2015;15.1
12/02/2015;15.15
13/02/2015;15.12
17/02/2015;14.87
18/02/2015;15.21
19/02/2015;16.03
20/02/2015;16.17
23/02/2015;15.99
24/02/2015;15.7
25/02/2015;15.88
26/02/2015;15.97
27/02/2015;16.26
02/03/2015;16.01
03/03/2015;15.61
04/03/2015;15.09
05/03/2015;15.23
06/03/2015;14.26
09/03/2015;13.59
10/03/2015;13.59
11/03/2015;13.95
12/03/2015;13.5
13/03/2015;13.56
16/03/2015;13.47
17/03/2015;13.17
18/03/2015;13.82
19/03/2015;13.91
20/03/2015;14.02
23/03/2015;14.27
24/03/2015;14.22
25/03/2015;14.18
26/03/2015;14.09
27/03/2015;14.21
30/03/2015;14.13
31/03/2015;13.85
01/04/2015;15.18
02/04/2015;14.93
06/04/2015;15.74
07/04/2015;15.46
08/04/2015;15.42
09/04/2015;15.63
10/04/2015;15.95
13/04/2015;15.59
14/04/2015;15.62
15/04/2015;15.79
16/04/2015;15.4
17/04/2015;15.62
20/04/2015;15.58
21/04/2015;15.76
22/04/2015;15.13
23/04/2015;15.34
24/04/2015;15.24
27/04/2015;15.52
28/04/2015;15.99
29/04/2015;16.22
30/04/2015;15.68
01/05/2015;15.9
04/05/2015;15.92
05/05/2015;15.81
06/05/2015;15.21
07/05/2015;15.4
08/05/2015;15.39
11/05/2015;15.48
12/05/2015;15.41
13/05/2015;15.84
