Date;
02/06/2014;142
10/06/2014;147
12/06/2014;143.35
16/06/2014;145.01
18/06/2014;147
23/06/2014;146.01
24/06/2014;146.01
26/06/2014;146.58
30/06/2014;146.75
04/07/2014;142.28
11/07/2014;149
14/07/2014;142.8
15/07/2014;144
16/07/2014;141.41
17/07/2014;151
21/07/2014;147.6
22/07/2014;148
24/07/2014;148
25/07/2014;154.95
29/07/2014;155
30/07/2014;157
31/07/2014;160
05/08/2014;158
06/08/2014;158
08/08/2014;163.73
11/08/2014;168
12/08/2014;172
13/08/2014;194
14/08/2014;181.01
15/08/2014;185
18/08/2014;179
19/08/2014;183
25/08/2014;175
28/08/2014;158.02
29/08/2014;171.9
02/09/2014;173
03/09/2014;174.75
04/09/2014;180
05/09/2014;177
12/09/2014;181.99
15/09/2014;185
16/09/2014;183.5
17/09/2014;187.5
18/09/2014;181
19/09/2014;190.2
22/09/2014;190
23/09/2014;195
02/10/2014;180.01
03/10/2014;182
06/10/2014;189
07/10/2014;188
09/10/2014;188
10/10/2014;189
14/10/2014;187
16/10/2014;178
17/10/2014;177
20/10/2014;180
21/10/2014;186.66
22/10/2014;200
23/10/2014;200
27/10/2014;199.97
31/10/2014;192
03/11/2014;199
04/11/2014;200
05/11/2014;201
06/11/2014;205
07/11/2014;214
10/11/2014;219.75
11/11/2014;220
18/11/2014;225
20/11/2014;232
21/11/2014;240
25/11/2014;255
26/11/2014;254
27/11/2014;240
28/11/2014;240
01/12/2014;235
02/12/2014;245.1
03/12/2014;250
05/12/2014;250
08/12/2014;252.01
09/12/2014;252
12/12/2014;254.79
15/12/2014;247
16/12/2014;247
17/12/2014;230.75
18/12/2014;230
19/12/2014;220
22/12/2014;202.2
23/12/2014;236
24/12/2014;260
29/12/2014;250
05/01/2015;241
06/01/2015;239.8
07/01/2015;223
12/01/2015;246
13/01/2015;235
15/01/2015;230.04
16/01/2015;230.03
20/01/2015;230
21/01/2015;231
22/01/2015;239
23/01/2015;226
02/02/2015;237.75
03/02/2015;239
04/02/2015;239
05/02/2015;238
06/02/2015;240
09/02/2015;241
10/02/2015;238
11/02/2015;241
13/02/2015;241
19/02/2015;233
24/02/2015;240
26/02/2015;244.85
27/02/2015;244
02/03/2015;244
04/03/2015;226
05/03/2015;239.5
16/03/2015;240
17/03/2015;240
18/03/2015;234
23/03/2015;237.3
24/03/2015;238.49
25/03/2015;230
