Date;
28/05/2014;41.33
29/05/2014;40.41
30/05/2014;40.45
02/06/2014;40.82
03/06/2014;40.82
04/06/2014;40.8
05/06/2014;40.79
06/06/2014;40.47
09/06/2014;40.75
10/06/2014;40.96
11/06/2014;40.14
12/06/2014;39.93
13/06/2014;40.01
16/06/2014;40.27
17/06/2014;40.22
18/06/2014;40.1
19/06/2014;39.8
20/06/2014;39.89
23/06/2014;40.05
24/06/2014;39.73
25/06/2014;39.98
26/06/2014;40.05
27/06/2014;40.18
30/06/2014;40.25
01/07/2014;40.55
02/07/2014;40.33
03/07/2014;40.49
07/07/2014;39.66
08/07/2014;39.52
09/07/2014;39.45
10/07/2014;39.52
11/07/2014;39.24
14/07/2014;39.15
15/07/2014;38.3
16/07/2014;39.07
17/07/2014;38.89
18/07/2014;39.17
21/07/2014;39.02
22/07/2014;39.27
23/07/2014;39.5
24/07/2014;39.9
25/07/2014;39.26
28/07/2014;39.33
29/07/2014;39.11
30/07/2014;39.33
31/07/2014;39.04
01/08/2014;38.77
04/08/2014;39.16
05/08/2014;38.95
06/08/2014;38.87
07/08/2014;38.42
08/08/2014;38.54
11/08/2014;39.12
12/08/2014;39.52
13/08/2014;39.43
14/08/2014;39.75
15/08/2014;39.7
18/08/2014;39.68
19/08/2014;39.77
20/08/2014;39.85
21/08/2014;39.96
22/08/2014;40.07
25/08/2014;40.2
26/08/2014;40.24
27/08/2014;40.95
28/08/2014;41.08
29/08/2014;40.79
02/09/2014;40.58
03/09/2014;41.02
04/09/2014;41.25
05/09/2014;41.18
08/09/2014;40.68
09/09/2014;40.8
10/09/2014;40.5
11/09/2014;40.55
12/09/2014;40.46
15/09/2014;40.48
16/09/2014;40.27
17/09/2014;40.25
18/09/2014;40.45
19/09/2014;39.67
22/09/2014;39.39
23/09/2014;39.25
24/09/2014;38.88
25/09/2014;38.01
26/09/2014;38.35
29/09/2014;37.49
30/09/2014;37.42
01/10/2014;37.39
02/10/2014;37.71
03/10/2014;37.65
06/10/2014;38.15
07/10/2014;38.13
08/10/2014;38.39
09/10/2014;38.27
10/10/2014;37.56
13/10/2014;37.09
14/10/2014;36.89
15/10/2014;37.06
16/10/2014;37.07
17/10/2014;37.49
20/10/2014;38.73
21/10/2014;39.19
22/10/2014;38.63
23/10/2014;38.1
24/10/2014;38.48
27/10/2014;38.11
28/10/2014;38.33
29/10/2014;37.86
30/10/2014;37.71
31/10/2014;37.65
03/11/2014;37.73
04/11/2014;37.85
05/11/2014;38.09
06/11/2014;37.28
07/11/2014;37.26
10/11/2014;37.44
11/11/2014;37.65
12/11/2014;37.99
13/11/2014;38.1
14/11/2014;38.38
17/11/2014;39.06
18/11/2014;39.65
19/11/2014;40.21
20/11/2014;39.94
21/11/2014;40.21
24/11/2014;39.81
25/11/2014;40.23
26/11/2014;40.43
28/11/2014;40.24
01/12/2014;40.52
02/12/2014;39.93
03/12/2014;39.98
04/12/2014;39.64
05/12/2014;39.46
08/12/2014;39.3
09/12/2014;39.09
10/12/2014;38.3
11/12/2014;39.06
12/12/2014;38.25
15/12/2014;37.91
16/12/2014;38.34
17/12/2014;38.53
18/12/2014;38.66
19/12/2014;38.95
22/12/2014;38.53
23/12/2014;38.89
24/12/2014;39.12
26/12/2014;39.5
29/12/2014;38.94
30/12/2014;38.99
31/12/2014;38.86
02/01/2015;38.79
05/01/2015;38.01
06/01/2015;38.15
07/01/2015;38.34
08/01/2015;38.73
09/01/2015;38.56
12/01/2015;38.57
13/01/2015;38.94
