Date;
28/05/2014;69.09
29/05/2014;69
30/05/2014;68.82
02/06/2014;68.48
03/06/2014;68.35
04/06/2014;68.42
05/06/2014;68.24
06/06/2014;68.33
09/06/2014;68.99
10/06/2014;69.01
11/06/2014;68.86
12/06/2014;68.8
13/06/2014;69.32
16/06/2014;69.33
17/06/2014;69.2
18/06/2014;69.44
19/06/2014;69.34
20/06/2014;69.8
23/06/2014;70.17
24/06/2014;69.9
25/06/2014;69.85
26/06/2014;70.45
27/06/2014;71.33
30/06/2014;71.43
01/07/2014;71.95
02/07/2014;72.21
03/07/2014;72.76
07/07/2014;72.63
08/07/2014;72.85
09/07/2014;73.63
10/07/2014;73.59
11/07/2014;72.95
14/07/2014;73.45
15/07/2014;73.68
16/07/2014;74.15
17/07/2014;74.14
18/07/2014;74.22
21/07/2014;74.49
22/07/2014;73.92
23/07/2014;73.84
24/07/2014;73.83
25/07/2014;73.89
28/07/2014;73.92
29/07/2014;73.56
30/07/2014;73.97
31/07/2014;73.81
01/08/2014;72.61
04/08/2014;73.18
05/08/2014;72.54
06/08/2014;72.97
07/08/2014;72.63
08/08/2014;71.98
11/08/2014;72.69
12/08/2014;72.88
13/08/2014;72.84
14/08/2014;73.55
15/08/2014;73.34
18/08/2014;73.88
19/08/2014;74.56
20/08/2014;74.36
21/08/2014;74.65
22/08/2014;73.82
25/08/2014;73.73
26/08/2014;73.66
27/08/2014;74.53
28/08/2014;74.3
29/08/2014;74.27
02/09/2014;74.23
03/09/2014;74.57
04/09/2014;74.56
05/09/2014;74.32
08/09/2014;73.65
09/09/2014;74.01
10/09/2014;74.27
11/09/2014;74.1
12/09/2014;74.05
15/09/2014;74.17
16/09/2014;75.02
17/09/2014;74.94
18/09/2014;75.9
19/09/2014;74.88
22/09/2014;73.99
23/09/2014;73.65
24/09/2014;73.41
25/09/2014;71.77
26/09/2014;72.05
29/09/2014;71.34
30/09/2014;71.45
01/10/2014;71.44
02/10/2014;71.35
03/10/2014;71.11
06/10/2014;71.97
07/10/2014;71.28
08/10/2014;72.92
09/10/2014;72.25
10/10/2014;70.95
13/10/2014;70.56
14/10/2014;69.71
15/10/2014;68.62
16/10/2014;68.71
17/10/2014;69.93
20/10/2014;70.25
21/10/2014;71.33
22/10/2014;70.62
23/10/2014;70.39
24/10/2014;70.62
27/10/2014;70.32
28/10/2014;71.13
29/10/2014;70.67
30/10/2014;71.12
31/10/2014;71.17
03/11/2014;70.46
04/11/2014;70.39
05/11/2014;71.35
06/11/2014;70.95
07/11/2014;71.5
10/11/2014;71.63
11/11/2014;72.18
12/11/2014;72.57
13/11/2014;72.23
14/11/2014;72.83
17/11/2014;72.8
18/11/2014;72.68
19/11/2014;73.04
20/11/2014;73.34
21/11/2014;73.45
24/11/2014;73.04
25/11/2014;73.19
26/11/2014;73.7
28/11/2014;73.15
01/12/2014;73.05
02/12/2014;71.44
03/12/2014;71.75
04/12/2014;70.88
05/12/2014;70.38
08/12/2014;69.55
09/12/2014;69.81
10/12/2014;68.41
11/12/2014;68.05
12/12/2014;66.84
15/12/2014;66.52
16/12/2014;67.51
17/12/2014;68.41
18/12/2014;68.33
19/12/2014;68.78
22/12/2014;68.24
23/12/2014;68.94
24/12/2014;69.08
