Date;
28/05/2014;51.98
29/05/2014;51.83
30/05/2014;52.38
02/06/2014;52.3
03/06/2014;53.48
04/06/2014;53.33
05/06/2014;53.75
06/06/2014;54.9
09/06/2014;54.93
10/06/2014;54.34
11/06/2014;53.84
12/06/2014;53.16
13/06/2014;53.58
16/06/2014;54.28
17/06/2014;53.77
18/06/2014;53.15
19/06/2014;52.93
20/06/2014;52.4
23/06/2014;53.31
24/06/2014;55.66
25/06/2014;55.32
26/06/2014;55.35
27/06/2014;55.98
30/06/2014;56.12
02/07/2014;56.59
03/07/2014;56.69
04/07/2014;56.77
07/07/2014;55.95
08/07/2014;56.07
09/07/2014;56.35
10/07/2014;55.63
11/07/2014;56.02
14/07/2014;56.07
15/07/2014;56.13
16/07/2014;56.59
17/07/2014;55.95
18/07/2014;56.28
21/07/2014;56.46
22/07/2014;56.37
23/07/2014;56.42
24/07/2014;56.51
25/07/2014;57.74
28/07/2014;57.03
29/07/2014;57.25
30/07/2014;58.47
31/07/2014;57.6
01/08/2014;57.49
05/08/2014;58.81
06/08/2014;58.89
07/08/2014;58.62
08/08/2014;56.91
11/08/2014;57.22
12/08/2014;56.4
13/08/2014;56.04
14/08/2014;56.32
15/08/2014;55.73
18/08/2014;55.71
19/08/2014;55.84
20/08/2014;56.15
21/08/2014;55.83
22/08/2014;56.05
25/08/2014;56.37
26/08/2014;56.09
27/08/2014;56.28
28/08/2014;56.3
29/08/2014;55.68
02/09/2014;55.89
03/09/2014;56.54
04/09/2014;55.95
05/09/2014;55.5
08/09/2014;55.38
09/09/2014;55.1
10/09/2014;54.4
11/09/2014;53.53
12/09/2014;53.94
15/09/2014;53.89
16/09/2014;53.89
17/09/2014;53.15
18/09/2014;53.46
19/09/2014;52.5
22/09/2014;51.99
23/09/2014;52.06
24/09/2014;52.1
25/09/2014;52
26/09/2014;52.16
29/09/2014;51.72
30/09/2014;51.57
01/10/2014;52.11
02/10/2014;52.42
03/10/2014;51.97
06/10/2014;51.41
07/10/2014;51.94
08/10/2014;51.09
09/10/2014;49.88
10/10/2014;48.48
14/10/2014;47.41
15/10/2014;46.89
16/10/2014;48.07
17/10/2014;47.88
20/10/2014;48.16
21/10/2014;48.81
22/10/2014;47.4
23/10/2014;48.16
24/10/2014;48.85
27/10/2014;47.55
28/10/2014;48.09
29/10/2014;47.55
30/10/2014;47.64
31/10/2014;48.56
03/11/2014;47.59
04/11/2014;45.46
05/11/2014;46.2
06/11/2014;42.47
07/11/2014;44.41
10/11/2014;44.41
11/11/2014;44.05
12/11/2014;44.61
13/11/2014;43.75
14/11/2014;43.4
17/11/2014;43.63
18/11/2014;43.6
19/11/2014;43.66
20/11/2014;43.92
21/11/2014;44
24/11/2014;44.24
25/11/2014;44.65
26/11/2014;44.32
27/11/2014;44.28
28/11/2014;43.22
01/12/2014;41.02
02/12/2014;41.09
03/12/2014;41.98
04/12/2014;41.56
05/12/2014;41.49
08/12/2014;39.1
09/12/2014;41.1
10/12/2014;40.39
11/12/2014;40.7
12/12/2014;40.6
15/12/2014;41.23
16/12/2014;41.94
17/12/2014;42.41
18/12/2014;42.97
19/12/2014;42.85
22/12/2014;42.83
23/12/2014;43.51
24/12/2014;44.4
29/12/2014;43.87
30/12/2014;43.94
31/12/2014;44.31
02/01/2015;44.52
05/01/2015;42.41
06/01/2015;42.54
07/01/2015;42.1
08/01/2015;42.08
09/01/2015;41.94
12/01/2015;41.05
13/01/2015;41.17
14/01/2015;41.29
15/01/2015;40.79
16/01/2015;41.38
19/01/2015;41.97
20/01/2015;40.97
21/01/2015;41.34
22/01/2015;42.51
23/01/2015;43.42
26/01/2015;44.5
27/01/2015;43.82
28/01/2015;42.52
29/01/2015;42.52
30/01/2015;42.05
02/02/2015;42.7
03/02/2015;43.81
04/02/2015;43.17
05/02/2015;43.46
06/02/2015;43.92
09/02/2015;44.06
10/02/2015;43.16
11/02/2015;44.12
12/02/2015;44.67
13/02/2015;44.17
17/02/2015;44.26
18/02/2015;43.71
19/02/2015;40.63
20/02/2015;39.28
23/02/2015;39.17
24/02/2015;39.69
25/02/2015;39.72
26/02/2015;39.46
27/02/2015;39.34
02/03/2015;39.59
03/03/2015;39.54
04/03/2015;39.57
05/03/2015;36.97
06/03/2015;36.69
09/03/2015;37.35
10/03/2015;36.69
11/03/2015;38.4
12/03/2015;41.07
13/03/2015;41.13
16/03/2015;40.42
17/03/2015;39.43
18/03/2015;40.44
19/03/2015;40.58
20/03/2015;40.82
23/03/2015;40.51
24/03/2015;40.78
25/03/2015;40.95
26/03/2015;40.93
27/03/2015;39.84
30/03/2015;39.55
31/03/2015;39.33
01/04/2015;39.3
02/04/2015;39.41
06/04/2015;40.16
07/04/2015;40.77
08/04/2015;40.6
09/04/2015;41.69
10/04/2015;41.22
13/04/2015;41.22
14/04/2015;41.56
15/04/2015;42.89
16/04/2015;43.6
17/04/2015;43.73
20/04/2015;43.49
21/04/2015;41.74
22/04/2015;42.33
23/04/2015;42.98
24/04/2015;43
